Obs,Inputfile,YEAR,AUTHOR,AUTHOR_t,GENDER,Gender,AUTHORS,Par_per_doc,Zin_per_doc,Word_per_doc,Alpino_status,Let_per_wrd_zn,Morf_per_wrd_zn,Let_per_wrd_nsam,Wrd_freq_zn_log,Conc_bvnw_ruim_p,Conc_nw_ruim_p,Conc_ww_p,Alg_nw_p,Alg_ww_p,Pv_Frog_per_zin,Bijw_bep_dz,Bijv_bep_dz,Bijzin_per_zin,D_level,Wrd_per_dz,Mv_inbed_per_zin,MTLD_lem,Namen_p,Abstr_ww_p
11,input/GID_1988_185_Boheemen-Saaf.txt,1988,Boheemen-Saaf ,Boheemen-Saaf,F,F,F.17,1,28,622,0,5.54811,1.47595,7.86735,4.5592,0.2,0.293233,0.0103093,0.203008,0.175258,2.14286,1.11864,1.88136,1.32143,3.75,10.5424,0.142857,100.357,0.25974,0.845361
12,input/GID_1887_33_Boissevain.txt,1887,Boissevain ,Boissevain,M,M,M.13,1,23,554,0,5.27941,1.45221,7.00826,3.59586,0.44898,0.613208,0.231707,0.0188679,0.0365854,2.04348,1.19565,2.30435,0.608696,3.30435,12.0435,0.0869565,109.152,0.070922,0.329268
13,input/DIE_1986_90_Bousset.txt,1986,Bousset ,Bousset,M,M,M.4,1,25,513,0,5.09939,1.44828,6.69072,4.13874,0.136364,0.464286,0.0273973,0.133929,0.123288,1.92,1.42222,2.15556,0.6,2.68,11.4,0,87.6932,0.15625,0.69863
14,input/DIE_1999_33_Bousset.txt,1999,Bousset ,Bousset,M,M,M.4,1,30,614,0,5.18784,1.40072,7.75652,4.19129,0.315789,0.474359,0.0289855,0.128205,0.188406,1.63333,1.13462,2.09615,0.6,2.2,11.8077,0.0666667,105.731,0.314286,0.753623
15,input/GID_1915_7_Boxman-Winkler.txt,1915,Boxman-Winkler ,Boxman-Winkler,F,F,F.5,1,46,806,0,4.95019,1.40358,6.25121,3.41709,0.4125,0.555556,0.198347,0.0308642,0.0578512,1.91304,0.755319,1.58511,0.347826,2.34783,8.57447,0.0217391,232.257,0.0991379,0.53719
16,input/ONT_1962_151_Boyens.txt,1962,Boyens ,Boyens,F,F,F.21,1,43,708,0,5.04261,1.3821,7.31973,4.25089,0.26087,0.507042,0.092437,0.0915493,0.0588235,1.76744,1.15584,1.27273,0.790698,2.46512,9.19481,0.186047,94.3053,0.0251572,0.689076
17,input/GID_1992_106_Brassinga.txt,1992,Brassinga ,Brassinga,F,F,F.36,1,25,696,0,4.97529,1.3939,7.73944,4.39018,0.0731707,0.311594,0.0438596,0.210145,0.131579,2.68,1.14706,1.54412,1.88,4.4,10.2353,0.4,83.202,0.0509554,0.710526
18,input/DIE_1975_57_Brems.txt,1975,Brems ,Brems,M,M,M.5,1,22,530,0,5.32879,1.45525,7.50909,3.84487,0.176471,0.376344,0.0597015,0.236559,0.0895522,1.95455,1.525,2.625,0.636364,2.86364,13.25,0.0909091,80.5631,0.121212,0.731343
19,input/DIE_1988_34_Brems.txt,1988,Brems ,Brems,M,M,M.20,1,26,525,0,4.78443,1.39321,7.29333,4.77384,0.227273,0.362637,0.0208333,0.197802,0.0833333,1.76923,1.38596,1.12281,1.11538,2.80769,9.21053,0.269231,80.4985,0.235294,0.833333
20,input/GID_1893_21_Byvanck.txt,1893,Byvanck ,Byvanck,M,M,M.20,1,47,881,1,5.03515,1.39273,7.14744,4.2709,0.234043,0.521277,0.0704225,0.132979,0.119718,1.74468,1.11905,1.39286,NA,2.3617,10.4881,NA,30.3684,0.254545,0.732394
